152.45,152.46
149.21,149.23
151.38,151.41
149.75,149.79
149.62,149.67
152.30,152.36
150.48,150.55
151.92,152.00
150.98,151.07
148.71,148.81
151.10,151.21
149.69,149.81
147.55,147.68
150.41,150.55
149.99,150.14
148.95,149.11
150.24,150.41
148.31,148.49
153.81,154.00
146.81,147.01
146.92,147.13
152.10,152.32
148.47,148.70
148.72,148.96
148.72,148.97
151.79,152.05
150.24,150.51
150.99,151.27
146.28,146.57
146.44,146.74
150.44,150.75
146.24,146.56
153.80,154.13
150.64,150.98
152.61,152.96
146.46,146.82
151.06,151.43
150.98,151.36
152.29,152.68
149.30,149.70
147.26,147.67
148.56,148.98
148.95,149.38
149.35,149.79
149.57,150.02
150.51,150.97
154.21,154.68
148.33,148.81
148.66,149.15
153.51,154.01
154.93,155.44
148.53,149.05
146.17,146.70
150.99,151.53
148.59,149.14
149.85,150.41
149.80,150.37
150.64,151.22
147.38,147.97
150.47,151.07
149.17,149.78
147.02,147.64
149.72,150.35
147.91,148.55
155.73,156.38
150.10,150.76
149.80,150.47
149.54,150.22
149.76,150.45
152.43,153.13
147.23,147.94
148.46,149.18
152.03,152.76
150.94,151.68
149.61,150.36
152.71,153.47
149.80,150.57
151.90,152.68
149.99,150.78
153.58,154.38
151.66,152.47
151.30,152.12
148.29,149.12
149.12,149.96
150.77,151.62
150.58,151.44
147.15,148.02
150.55,151.43
150.71,151.60
146.47,147.37
147.70,148.61
152.92,153.84
148.91,149.84
147.74,148.68
149.28,150.23
152.50,153.46
150.86,151.83
145.50,146.48
148.90,149.89
146.82,147.82
148.78,149.79
146.20,147.22
151.34,152.37
152.06,153.10
151.69,152.74
152.00,153.06
152.49,153.56
148.37,149.45
148.98,150.07
147.23,148.33
146.07,147.18
148.13,149.25
147.37,148.50
150.11,151.25
149.25,150.40
150.87,152.03
148.13,149.30
150.68,151.86
150.39,151.58
146.72,147.92
146.08,147.29
145.33,146.55
148.69,149.92
150.17,151.41
151.02,152.27
148.01,149.27
149.15,150.42
145.46,146.74
153.56,154.85
148.43,149.73
150.75,152.06
146.79,148.11
149.01,150.34
151.92,153.26
147.58,148.93
151.00,152.36
147.64,149.01
151.29,152.67
150.99,152.38
149.75,151.15
153.59,155.00
146.79,148.21
151.07,152.50
153.56,155.00
150.62,152.07
151.42,152.88
149.63,151.10
151.76,153.24
146.41,147.90
147.74,149.24
147.82,149.33
147.71,149.23
154.79,156.32
153.46,155.00
148.76,150.31
150.88,152.44
146.69,148.26
148.59,150.17
149.42,151.01
150.61,152.21
152.41,154.02
151.23,152.85
149.96,151.59
152.48,154.12
149.63,151.28
151.31,152.97
154.07,155.74
147.66,149.34
149.44,151.13
148.04,149.74
146.86,148.57
151.98,153.70
149.08,150.81
146.60,148.34
147.95,149.70
151.97,153.73
151.29,153.06
150.23,152.01
146.83,148.62
148.96,150.76
148.08,149.89
152.68,154.50
148.68,150.51
151.70,153.54
153.39,155.24
152.67,154.53
151.24,153.11
147.42,149.30
154.65,156.54
147.36,149.26
