auctionid,bid,bidtime,bidder,bidderrate,openbid,price
8212590929,100,4.659606,pauls4120,1,70,152.5
8212590929,71,4.787627,lopezjacinto,9,70,152.5
8212590929,75,4.787743,lopezjacinto,9,70,152.5
8212590929,78,4.78787,lopezjacinto,9,70,152.5
8212590929,80,4.787998,lopezjacinto,9,70,152.5
8212590929,100,4.788125,lopezjacinto,9,70,152.5
8212590929,150,4.839838,stretch415,81,70,152.5
8212590929,152.5,4.999873,clspeak,6,70,152.5
8212752835,1,2.124062,darklordofhell98,0,0.99,71
8212752835,2,2.129884,sweetiepie1932,17,0.99,71
8212752835,20,3.232315,jay1984play,0,0.99,71
8212752835,3.5,3.324225,sweetiepie1932,17,0.99,71
8212752835,5,3.324514,sweetiepie1932,17,0.99,71
8212752835,8,3.324769,sweetiepie1932,17,0.99,71
8212752835,15,3.325023,sweetiepie1932,17,0.99,71
8212752835,16,3.328032,darklordofhell98,0,0.99,71
8212752835,17,3.330509,darklordofhell98,0,0.99,71
8212752835,18,3.33103,darklordofhell98,0,0.99,71
8212752835,19,3.332326,darklordofhell98,0,0.99,71
8212752835,71,4.035255,darklordofhell98,0,0.99,71
8212752835,30,4.551632,2005joyel,0,0.99,71
8212752835,40,4.563877,galvestontx77568,2,0.99,71
8212752835,42,4.797801,minipc1,104,0.99,71
8212752835,44,4.900521,mrkoontez,1,0.99,71
8212752835,46,4.900637,mrkoontez,1,0.99,71
8212752835,48,4.900775,mrkoontez,1,0.99,71
8212752835,50,4.900938,mrkoontez,1,0.99,71
8212752835,54,4.901053,mrkoontez,1,0.99,71
8212752835,56,4.901539,mrkoontez,1,0.99,71
8212752835,58,4.901863,mrkoontez,1,0.99,71
8212752835,61,4.979583,kimn7729,0,0.99,71
8212752835,65,4.980775,kimn7729,0,0.99,71
8212752835,70,4.981076,kimn7729,0,0.99,71
8212830525,386.87,0.577431,sybercool123,536,150,501.77
8212830525,153,0.811042,adavisa1,0,150,501.77
8212830525,160,0.811551,adavisa1,0,150,501.77
8212830525,165,1.167859,donna4108,0,150,501.77
8212830525,175,1.168252,donna4108,0,150,501.77
8212830525,180,1.212951,donna4108,0,150,501.77
8212830525,185,1.213438,donna4108,0,150,501.77
8212830525,190,1.21375,donna4108,0,150,501.77
8212830525,198,1.214051,donna4108,0,150,501.77
8212830525,203,1.518009,adavisa1,0,150,501.77
8212830525,210,1.518148,adavisa1,0,150,501.77
8212830525,216,1.527442,adavisa1,0,150,501.77
8212830525,222,1.570139,adavisa1,0,150,501.77
8212830525,228,1.570266,adavisa1,0,150,501.77
8212830525,239,1.570417,adavisa1,0,150,501.77
8212830525,245,1.57059,adavisa1,0,150,501.77
8212830525,250,1.571354,adavisa1,0,150,501.77
8212830525,260,1.571539,adavisa1,0,150,501.77
8212830525,275,1.571667,adavisa1,0,150,501.77
8212830525,285,1.571782,adavisa1,0,150,501.77
8212830525,300,1.632998,slipsafetysolution,1,150,501.77
8212830525,350,1.806597,adavisa1,0,150,501.77
8212830525,403.87,2.152581,sybercool123,536,150,501.77
8212830525,375,2.565856,adavisa1,0,150,501.77
8212830525,400,2.565972,adavisa1,0,150,501.77
8212830525,478.79,2.588576,dqmgnt,8,150,501.77
8212830525,425,4.471887,adavisa1,0,150,501.77
8212830525,435,4.858981,ruthhagerman,2,150,501.77
8212830525,445,4.859282,ruthhagerman,2,150,501.77
8212830525,455,4.859502,ruthhagerman,2,150,501.77
8212830525,500,4.859699,ruthhagerman,2,150,501.77
8212830525,501.77,4.999583,jajone13,9,150,501.77
8212869625,50,0.011204,mrpoody,8,0.99,122.5
8212869625,1.04,0.092685,mareandrich,11,0.99,122.5
8212869625,10.45,0.445093,countryfish25,31,0.99,122.5
8212869625,14.87,0.446007,countryfish25,31,0.99,122.5
8212869625,15.87,0.44684,countryfish25,31,0.99,122.5
8212869625,59.95,0.596632,skunk024,54,0.99,122.5
8212869625,110,2.691331,krrf25,72,0.99,122.5
8212869625,75,2.769537,countryfish25,31,0.99,122.5
8212869625,77.01,2.770069,countryfish25,31,0.99,122.5
8212869625,79.05,2.770451,countryfish25,31,0.99,122.5
8212869625,85,2.770891,countryfish25,31,0.99,122.5
8212869625,90,3.852963,skcardina,1,0.99,122.5
8212869625,95,3.885278,skcardina,1,0.99,122.5
