81.00,65.00,43.00,75.00,35.00,16.00,10.00,85.00,78.00,54.00,64.00,31.00,8.00,3.00,3.00,5.00,17.00,95.00,3.00,25.00
90.00,3.00,38.00,25.00,83.00,79.00,96.00,62.00,38.00,29.00,37.00,92.00,26.00,88.00,74.00,68.00,39.00,92.00,56.00,29.00
12.00,84.00,76.00,50.00,58.00,31.00,0.00,35.00,24.00,74.00,81.00,43.00,80.00,91.00,50.00,4.00,83.00,5.00,88.00,61.00
91.00,93.00,79.00,69.00,54.00,52.00,77.00,51.00,40.00,18.00,53.00,18.00,2.00,79.00,47.00,7.00,80.00,73.00,66.00,26.00
63.00,67.00,18.00,89.00,91.00,16.00,81.00,40.00,9.00,68.00,35.00,90.00,92.00,9.00,90.00,52.00,6.00,26.00,19.00,82.00
9.00,75.00,48.00,95.00,28.00,60.00,86.00,7.00,13.00,18.00,93.00,97.00,73.00,26.00,60.00,9.00,39.00,42.00,36.00,98.00
27.00,74.00,44.00,54.00,75.00,26.00,8.00,23.00,94.00,36.00,87.00,43.00,48.00,33.00,61.00,81.00,52.00,54.00,46.00,73.00
54.00,39.00,64.00,13.00,75.00,65.00,39.00,12.00,95.00,62.00,55.00,11.00,57.00,67.00,85.00,81.00,41.00,94.00,98.00,34.00
95.00,65.00,70.00,14.00,38.00,68.00,25.00,18.00,57.00,78.00,62.00,25.00,23.00,13.00,80.00,72.00,65.00,41.00,15.00,58.00
96.00,17.00,75.00,25.00,56.00,74.00,80.00,23.00,5.00,8.00,58.00,40.00,45.00,72.00,57.00,14.00,62.00,98.00,85.00,10.00
15.00,70.00,27.00,84.00,7.00,45.00,43.00,41.00,23.00,92.00,20.00,59.00,96.00,10.00,18.00,65.00,29.00,30.00,64.00,90.00
97.00,3.00,67.00,25.00,5.00,8.00,91.00,4.00,35.00,77.00,30.00,26.00,54.00,65.00,23.00,51.00,43.00,70.00,37.00,87.00
95.00,27.00,65.00,81.00,53.00,22.00,18.00,90.00,82.00,48.00,47.00,60.00,52.00,49.00,88.00,97.00,1.00,66.00,19.00,81.00
48.00,4.00,16.00,24.00,77.00,91.00,26.00,94.00,1.00,43.00,23.00,71.00,23.00,77.00,2.00,64.00,98.00,53.00,42.00,26.00
80.00,9.00,11.00,92.00,93.00,15.00,14.00,49.00,4.00,44.00,84.00,22.00,48.00,71.00,48.00,80.00,16.00,69.00,48.00,59.00
14.00,82.00,49.00,34.00,12.00,82.00,13.00,48.00,16.00,30.00,19.00,11.00,62.00,90.00,16.00,45.00,10.00,66.00,12.00,2.00
42.00,69.00,95.00,19.00,56.00,53.00,86.00,33.00,64.00,50.00,22.00,29.00,67.00,89.00,97.00,43.00,37.00,17.00,58.00,42.00
91.00,31.00,34.00,25.00,46.00,99.00,57.00,90.00,73.00,51.00,17.00,31.00,39.00,33.00,71.00,82.00,19.00,12.00,22.00,31.00
79.00,95.00,58.00,61.00,1.00,7.00,54.00,36.00,64.00,81.00,22.00,42.00,36.00,69.00,50.00,8.00,48.00,99.00,38.00,16.00
95.00,3.00,22.00,47.00,33.00,44.00,14.00,11.00,45.00,79.00,43.00,50.00,98.00,19.00,47.00,13.00,33.00,17.00,58.00,17.00
